,id,Created at,Screen Name,Tweet Text
85,1321718158428917760,Thu Oct 29 07:38:59 +0000 2020,franz_mascher,"RT @PeteButtigieg: Trump's rallies are a metaphor for how he views his own supporters. Happy to have them cheer for him, only to leave them…"
86,1321718158261014529,Thu Oct 29 07:38:59 +0000 2020,Jgoodmamajama,RT @SethAbramson: As good an ad about Trump as I've seen. I hope you'll retweet it. https://t.co/G5e5L0HyRu
87,1321718158181519360,Thu Oct 29 07:38:59 +0000 2020,John2017abc,@newsboy23 Why do you want to bring him back? Just leave him to work for Trump.
88,1321718157833199624,Thu Oct 29 07:38:59 +0000 2020,marie_lohman,"RT @amvetsupport: Please remember that trump will do anything to win this election. He will cheat, steal and lie with no regard for America."
89,1321718157149614080,Thu Oct 29 07:38:59 +0000 2020,grapplewithit,"RT @SholaMos1: Nigel Farage endorses #Trump as 'leader of the free world' while Trump calls him 'the most powerful man in Europe'.

Two del…"
90,1321718156906422272,Thu Oct 29 07:38:59 +0000 2020,DCMiaMia,"RT @KamalaHarris: Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…"
91,1321718156570828802,Thu Oct 29 07:38:59 +0000 2020,MrsMaggieAH,I pretty much live in Trump country and I’m terrified if he wins and terrified for what will happen if he loses.
92,1321718156059004928,Thu Oct 29 07:38:59 +0000 2020,LavetteKing12,RT @rump_fat: @mmpadellan Trump can’t handle his bad ratings! Farewell Apprentice! https://t.co/P9frUSKZMn
93,1321718155392110592,Thu Oct 29 07:38:59 +0000 2020,freddyatton,RT @JoeBiden: It’s simple: Donald Trump thinks health care is a privilege. I think it is your right.
94,1321718155195027457,Thu Oct 29 07:38:59 +0000 2020,mommaannie5,"RT @KamalaHarris: Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…"
95,1321718154532319233,Thu Oct 29 07:38:59 +0000 2020,tarashay00,"RT @charliekirk11: It's disgraceful to watch the media praise Miles Taylor, the ""Anonymous"" whistleblower with no real insight into the Tru…"
96,1321718154414985219,Thu Oct 29 07:38:59 +0000 2020,kenziehorn,Nigel Farage and Trump are holding super spreader events in my home state. Please end this nightmare now. https://t.co/6fAypsiRA0
97,1321718154100269057,Thu Oct 29 07:38:58 +0000 2020,kellycateross,@jennycohn1 So basically we are all fucked.  Trump has rigged Florida penn Georgia.
98,1321718154045902848,Thu Oct 29 07:38:58 +0000 2020,neskatxa,"@timolarch If Trump remains ‘President’, being who he is, he will entertain no trade deal unless he perceives it as… https://t.co/T1H28gOwPZ"
